Country,Population,fatality_rate,fatality_score,score_terrorism,score_security,score_governance,score_pol_sanctions_international,group_1_label,group_2_label,group_3_label,group_4_label,score_violence_events,score_political
Afghanistan,40864868.0,2.268452206917688,70.0,72.61999999999999,71.31,71.7741432,56.25,No,Indecisive,Yes,Yes,60,51.0060358
Angola,36186956.0,0.5526853377775129,50.0,16.57,33.285,43.9035512,,,,,,5,
Albania,2821649.0,0.0,0.0,0.0,0.0,33.756001,,,,,,0,
United Arab Emirates,10445031.0,0.0,0.0,11.78,5.89,20.633854100000008,,,,,,20,
Argentina,45459024.0,0.021997832597549827,30.0,8.01,19.005,37.005140100000006,,,,,,0,
Armenia,2902348.0,0.06890972412681043,40.0,7.199999999999999,23.6,46.4606822,,,,,,0,
Australia,31472159.0,0.05083858403231885,40.0,19.73,29.865000000000002,20.55529750000001,0.0,No,No,No,No,0,24.138824375000002
Austria,9136103.0,0.021891171761088946,30.0,5.819999999999999,17.91,25.708327800000006,,,,,,0,
Azerbaijan,10331625.0,0.05807411709193858,40.0,2.33,21.165,36.5039625,,,,,,0,
Burundi,13503998.0,1.6513628038155812,60.0,40.43,50.215,57.6159801,30.0,No,No,Yes,No,20,31.153995025
Belgium,11698104.0,0.0,0.0,13.469999999999999,6.734999999999999,32.03100190000001,,,,,,0,
Benin,13934166.0,3.021350542257068,70.0,48.019999999999996,59.01,40.9896608,,,,,,5,
Burkina Faso,22765636.0,23.166495326552702,100.0,85.81,92.905,66.6687979,,,,,,60,
Bangladesh,170426512.0,0.21592884562467604,40.0,30.299999999999997,35.15,59.095149400000004,12.5,Indecisive,No,No,No,75,42.64878735
Bulgaria,6813384.0,0.014676994574208646,30.0,0.0,15.0,33.423593100000005,,,,,,0,
The Bahamas,398515.0,0.0,0.0,,0.0,,,,,,,0,
Bosnia and Herzegovina,3194466.0,0.0,0.0,12.18,6.09,42.6645373,30.0,No,No,Yes,No,0,26.666134325
Belarus,9145462.0,0.02186876945090363,30.0,2.33,16.165,40.5504997,63.75,No,Yes,Yes,No,0,33.825124925
Belize,408114.0,9.066094277579303,80.0,,80.0,20.7013008,,,,,,10,
Bolivia,12159495.0,0.3125129785406384,40.0,0.0,20.0,43.4327703,,,,,,20,
Brazil,210707000.0,3.765418329718519,70.0,14.299999999999999,42.15,42.997778800000006,,,,,,95,
Brunei,457028.0,,,,,13.56114740000001,,,,,,0,
Bhutan,783664.0,0.12760570856897854,40.0,0.0,20.0,10.97515030000001,,,,,,0,
Botswana,2459937.0,0.16260579031089006,40.0,0.0,20.0,16.4723697,,,,,,0,
Central African Republic,5064592.0,23.990086466984902,100.0,9.57,54.785,65.4152732,46.25,Indecisive,No,Yes,No,40,43.9163183
Canada,39059725.0,0.0,0.0,18.700000000000003,9.350000000000001,23.882663500000007,3.75,No,No,No,No,0,25.658165875
Switzerland,8843053.0,0.0,0.0,12.649999999999999,6.324999999999999,17.35423130000001,,,,,,0,
Chile,19603239.0,0.066315571625689,40.0,51.62,45.81,32.03264180000001,,,,,,20,
China,1424260946.0,7.021185287769591e-05,10.0,18.63,14.315,36.7248378,18.75,No,No,Indecisive,No,20,37.86870945
Ivory Coast,30783520.0,0.12344267322255545,40.0,14.54,27.27,48.5196265,,,,,,5,
Cameroon,27997833.0,6.521933322482494,80.0,69.44,74.72,60.698310500000005,,,,,,85,
Democratic Republic of the Congo,104063312.0,6.9505763952621455,80.0,67.67999999999999,73.84,,30.625,No,No,Indecisive,No,75,
Republic of the Congo,6108142.0,0.27831703978067307,40.0,0.0,20.0,,,,,,,0,
Colombia,52032604.0,4.431836623052731,70.0,63.81,66.905,50.689674700000005,,,,,,75,
Costa Rica,5092976.0,0.09817442689696555,40.0,0.0,20.0,14.0235481,,,,,,0,
Cuba,11039268.0,0.045292858185886964,30.0,0.0,15.0,28.715907400000006,15.0,No,Indecisive,No,No,5,22.17897685
Cyprus,1338114.0,0.07473204824103179,40.0,3.4699999999999998,21.735,27.5144782,,,,,,0,
Czech Republic,10827878.0,0.009235419904066152,20.0,29.060000000000002,24.53,17.5039891,3.75,No,No,No,No,0,20.063497275
Germany,84400899.0,0.008293750520358793,20.0,47.480000000000004,33.74,31.982925800000004,,,,,,10,
Djibouti,1145015.0,,,14.610000000000001,14.610000000000001,43.609113900000004,,,,,,0,
Denmark,5932370.0,0.0,0.0,7.199999999999999,3.5999999999999996,20.9719724,,,,,,0,
Dominican Republic,11282543.0,0.2393077518073718,40.0,0.0,20.0,24.0387329,,,,,,5,
Algeria,45831343.0,0.06982121383612956,40.0,24.15,32.075,45.953203200000004,,,,,,5,
Ecuador,17902009.0,22.706948700562045,100.0,15.5,57.75,46.4229933,,,,,,75,
Egypt,113493134.0,0.04669886021475096,30.0,44.160000000000004,37.08,,,,,,,10,
Eritrea,3438999.0,0.029078228868342212,30.0,0.0,15.0,46.209878100000005,12.5,Indecisive,No,No,No,0,17.927469525
Spain,47907344.0,0.0041747252780283545,10.0,12.56,11.280000000000001,34.1567149,,,,,,0,
Estonia,1367166.0,0.0,0.0,0.0,0.0,22.155723899999998,,,,,,0,
Ethiopia,127028360.0,4.97211803726349,70.0,7.87,38.935,66.3039776,,,,,,75,
Finland,5590327.0,0.0,0.0,9.49,4.745,19.883987200000007,,,,,,0,
Fiji,921747.0,0.0,0.0,,0.0,22.17513720000001,,,,,,0,
